"","X","AIC.full","AIC.disc","AIC.cont","Variable","Model","log10_pvalue"
"1","GSE12225.GPL3676_eset",NA,NA,NA,"MSI status","PCSS",NA
"2","GSE12945_eset",NA,NA,NA,"MSI status","PCSS",NA
"3","GSE13067_eset",NA,NA,NA,"MSI status","PCSS",NA
"4","GSE17538.GPL570_eset",NA,NA,NA,"MSI status","PCSS",NA
"5","GSE2109_eset",NA,NA,NA,"MSI status","PCSS",NA
"6","GSE21510_eset",NA,NA,NA,"MSI status","PCSS",NA
"7","GSE33113_eset",NA,NA,NA,"MSI status","PCSS",NA
"8","GSE39582_eset",193.992938836338,223.81008810328,210.006301981806,"MSI status","PCSS",7.93836301648917e-05
"9","TCGA.COAD_eset",NA,NA,NA,"MSI status","PCSS",NA
"10","TCGA.RNASeqV2_eset",82.031656225482,129.885764193513,78.9745741857903,"MSI status","PCSS",0.293204776203422
"11","GSE12225.GPL3676_eset",NA,NA,NA,"tumor location","PCSS",NA
"12","GSE12945_eset",67.6112674759941,69.554970435329,61.4991686294231,"tumor location","PCSS",0.756367209029275
"13","GSE13067_eset",NA,NA,NA,"tumor location","PCSS",NA
"14","GSE17538.GPL570_eset",NA,NA,NA,"tumor location","PCSS",NA
"15","GSE2109_eset",NA,NA,NA,"tumor location","PCSS",NA
"16","GSE21510_eset",NA,NA,NA,"tumor location","PCSS",NA
"17","GSE33113_eset",NA,NA,NA,"tumor location","PCSS",NA
"18","GSE39582_eset",643.81850040555,690.644276549812,636.409623965641,"tumor location","PCSS",0.964044935396493
"19","TCGA.COAD_eset",128.979525902054,125.462538970711,135.720870717749,"tumor location","PCSS",0.0052688761622936
"20","TCGA.RNASeqV2_eset",203.304023438743,212.263876783952,197.013776498882,"tumor location","PCSS",0.788945214768948
"21","GSE12225.GPL3676_eset",NA,NA,NA,"grade","PCSS",NA
"22","GSE12945_eset",92.9738027134277,93.3162169080753,90.4146422281663,"grade","PCSS",0.2449788846025
"23","GSE13067_eset",NA,NA,NA,"grade","PCSS",NA
"24","GSE17538.GPL570_eset",31.4659885343684,27.789933797245,28.3830538172999,"grade","PCSS",0.29591345936656
"25","GSE2109_eset",361.589092917128,362.241712747604,355.015748298756,"grade","PCSS",0.839549203819024
"26","GSE21510_eset",NA,NA,NA,"grade","PCSS",NA
"27","GSE33113_eset",NA,NA,NA,"grade","PCSS",NA
"28","GSE39582_eset",NA,NA,NA,"grade","PCSS",NA
"29","TCGA.COAD_eset",NA,NA,NA,"grade","PCSS",NA
"30","TCGA.RNASeqV2_eset",NA,NA,NA,"grade","PCSS",NA
"31","GSE12225.GPL3676_eset",45.5057234373896,45.438567597288,40.5231923634167,"stage","PCSS",0.55490628518108
"32","GSE12945_eset",93.0898332515217,92.1038074222848,89.4865471473593,"stage","PCSS",0.354970808043581
"33","GSE13067_eset",NA,NA,NA,"stage","PCSS",NA
"34","GSE17538.GPL570_eset",40.6308346076776,38.0927874838015,34.4128287729642,"stage","PCSS",0.775774932948865
"35","GSE2109_eset",465.984869412588,467.926627548772,459.926647970938,"stage","PCSS",0.746466583280872
"36","GSE21510_eset",79.5155288123915,76.8173236432169,81.7269631272165,"stage","PCSS",0.0370127960755386
"37","GSE33113_eset",NA,NA,NA,"stage","PCSS",NA
"38","GSE39582_eset",222.782056691857,229.430108207481,219.493037327326,"stage","PCSS",0.318258156511753
"39","TCGA.COAD_eset",175.804905715188,173.123240324351,171.082569014955,"stage","PCSS",0.512479080394767
"40","TCGA.RNASeqV2_eset",250.614838220865,251.039292774306,249.791213246003,"stage","PCSS",0.126856031736538
