"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",43.0830133377904,40.5231923634167,0.48670868734623,44.2086513946389,0.0770871230615688
"GSE12945_eset",89.0904751405762,89.4865471473593,0.111020989229084,87.5629073509694,0.290481291674311
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",NA,NA,NA,NA,NA
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",122.01678377699,119.178610747726,0.559387141134058,120.638739097526,0.269556392943705
"GSE17536_eset",120.723456220068,117.415748937681,0.707408944000632,119.371694031072,0.26603725981907
"GSE17538.GPL570_eset",36.0970810689013,34.4128287729642,0.314153407949641,33.7146705462176,0.44539455969525
"GSE2109_eset",460.324967083548,459.926647970938,0.165160022175916,474.864619432763,9.4224891095154e-05
"GSE21510_eset",85.45644986727,81.7269631272165,0.873491718765521,81.650945659079,0.907331054599712
"GSE21815_eset",177.182913212727,181.216780877554,0.0180080962163583,175.742476761404,0.278097981947966
"GSE26682.GPL570_eset",NA,NA,NA,NA,NA
"GSE26682.GPL96_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",223.414766243786,219.493037327326,0.961620360586719,224.312873629439,0.0863752853893185
"TCGA.COAD_eset",172.334892976626,171.082569014955,0.253133561327694,168.556210029371,0.89524439909292
"TCGA.RNASeqV2_eset",250.153735074103,249.791213246003,0.162230180336554,254.266170323314,0.0173143849219115
"NHS.HPFS_eset",531.39930029694,530.855278846991,0.177641238782666,528.68753269275,0.52512644492962
