"","X","AIC.full","AIC.disc","AIC.cont","Variable","Model","log10_pvalue"
"1","GSE12225.GPL3676_eset",NA,NA,NA,"MSI status","RAV",NA
"2","GSE12945_eset",NA,NA,NA,"MSI status","RAV",NA
"3","GSE13067_eset",NA,NA,NA,"MSI status","RAV",NA
"4","GSE13294_eset",101.291355785885,139.410111183033,106.424596929267,"MSI status","RAV",0.010642774926192
"5","GSE14095_eset",NA,NA,NA,"MSI status","RAV",NA
"6","GSE14333_eset",NA,NA,NA,"MSI status","RAV",NA
"7","GSE17536_eset",NA,NA,NA,"MSI status","RAV",NA
"8","GSE17538.GPL570_eset",NA,NA,NA,"MSI status","RAV",NA
"9","GSE2109_eset",NA,NA,NA,"MSI status","RAV",NA
"10","GSE21510_eset",NA,NA,NA,"MSI status","RAV",NA
"11","GSE21815_eset",NA,NA,NA,"MSI status","RAV",NA
"12","GSE26682.GPL570_eset",64.6190694935781,77.5914879831107,65.1467373326175,"MSI status","RAV",0.0740529962739913
"13","GSE26682.GPL96_eset",81.5036464700239,91.8440647037708,77.1827661883868,"MSI status","RAV",0.451170122804079
"14","GSE33113_eset",NA,NA,NA,"MSI status","RAV",NA
"15","GSE39582_eset",189.588526107949,223.81008810328,206.728695608527,"MSI status","RAV",4.71480913047098e-05
"16","TCGA.COAD_eset",NA,NA,NA,"MSI status","RAV",NA
"17","TCGA.RNASeqV2_eset",79.8616214144154,129.885764193513,74.3828067045425,"MSI status","RAV",0.640846299088517
"18","NHS.HPFS_eset",468.754081338911,532.030012106201,474.030310344971,"MSI status","RAV",0.0100020648419609
"19","GSE12225.GPL3676_eset",NA,NA,NA,"tumor location","RAV",NA
"20","GSE12945_eset",71.5099921813681,69.554970435329,66.6887247437363,"tumor location","RAV",0.528372836628062
"21","GSE13067_eset",NA,NA,NA,"tumor location","RAV",NA
"22","GSE13294_eset",NA,NA,NA,"tumor location","RAV",NA
"23","GSE14095_eset",NA,NA,NA,"tumor location","RAV",NA
"24","GSE14333_eset",188.761515835337,188.08185049264,187.459993819689,"tumor location","RAV",0.152706407434123
"25","GSE17536_eset",NA,NA,NA,"tumor location","RAV",NA
"26","GSE17538.GPL570_eset",NA,NA,NA,"tumor location","RAV",NA
"27","GSE2109_eset",NA,NA,NA,"tumor location","RAV",NA
"28","GSE21510_eset",NA,NA,NA,"tumor location","RAV",NA
"29","GSE21815_eset",NA,NA,NA,"tumor location","RAV",NA
"30","GSE26682.GPL570_eset",NA,NA,NA,"tumor location","RAV",NA
"31","GSE26682.GPL96_eset",NA,NA,NA,"tumor location","RAV",NA
"32","GSE33113_eset",NA,NA,NA,"tumor location","RAV",NA
"33","GSE39582_eset",666.782095047611,690.644276549812,662.609016116083,"tumor location","RAV",0.429935976795759
"34","TCGA.COAD_eset",129.333025433631,125.462538970711,142.969014475754,"tumor location","RAV",0.000236781876780838
"35","TCGA.RNASeqV2_eset",208.590891679772,212.263876783952,203.779910374448,"tumor location","RAV",0.526706440382288
"36","NHS.HPFS_eset",915.198657749865,929.401875480545,916.862445526504,"tumor location","RAV",0.0464884172641228
"37","GSE12225.GPL3676_eset",NA,NA,NA,"grade","RAV",NA
"38","GSE12945_eset",93.3379913762177,93.3162169080753,90.0015055901915,"grade","RAV",0.323596702984427
"39","GSE13067_eset",NA,NA,NA,"grade","RAV",NA
"40","GSE13294_eset",NA,NA,NA,"grade","RAV",NA
"41","GSE14095_eset",NA,NA,NA,"grade","RAV",NA
"42","GSE14333_eset",NA,NA,NA,"grade","RAV",NA
"43","GSE17536_eset",145.96908926069,144.908798042498,139.5562337644,"grade","RAV",0.811100793762496
"44","GSE17538.GPL570_eset",30.1353744243495,27.789933797245,28.1126760040357,"grade","RAV",0.200849830109419
"45","GSE2109_eset",357.520936160725,362.241712747604,353.863200398815,"grade","RAV",0.361662631251502
"46","GSE21510_eset",NA,NA,NA,"grade","RAV",NA
"47","GSE21815_eset",NA,NA,NA,"grade","RAV",NA
"48","GSE26682.GPL570_eset",NA,NA,NA,"grade","RAV",NA
"49","GSE26682.GPL96_eset",NA,NA,NA,"grade","RAV",NA
"50","GSE33113_eset",NA,NA,NA,"grade","RAV",NA
"51","GSE39582_eset",NA,NA,NA,"grade","RAV",NA
"52","TCGA.COAD_eset",NA,NA,NA,"grade","RAV",NA
"53","TCGA.RNASeqV2_eset",NA,NA,NA,"grade","RAV",NA
"54","NHS.HPFS_eset",438.648648748416,457.48430664102,432.492795922258,"grade","RAV",0.764396236218131
"55","GSE12225.GPL3676_eset",41.5387508351827,45.438567597288,37.5003356996528,"stage","RAV",0.41122973685156
"56","GSE12945_eset",94.0892043684782,92.1038074222848,89.6227547657301,"stage","RAV",0.472795304196579
"57","GSE13067_eset",NA,NA,NA,"stage","RAV",NA
"58","GSE13294_eset",NA,NA,NA,"stage","RAV",NA
