"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",NA,NA,NA,NA,NA
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",106.960856794791,104.1922641955,0.540260579949354,106.424596929267,0.176953186005071
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",NA,NA,NA,NA,NA
"GSE17536_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE21815_eset",NA,NA,NA,NA,NA
"GSE26682.GPL570_eset",58.4843065446987,55.5318322280689,0.592287664897005,65.1467373326175,0.00483818613515591
"GSE26682.GPL96_eset",75.9605453326733,76.1019885388955,0.126094758497643,77.1827661883868,0.0734529342763391
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",205.877090696266,210.006301981806,0.017169758957256,206.728695608527,0.0884071477125158
"TCGA.COAD_eset",21.7720774661898,29.662916516893,0.00261780388286797,18.8410880757428,0.585959089620484
"TCGA.RNASeqV2_eset",76.2531732747813,78.9745741857903,0.0347109369606385,74.3828067045425,0.34479104404389
"NHS.HPFS_eset",471.60311142468,475.188792638879,0.0225315077003376,474.030310344971,0.0402116123699844
