"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",NA,NA,NA,NA,NA
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",202.484386536496,210.006301981806,0.00314809515216855,221.875772970137,8.32961587061624e-06
"TCGA.COAD_eset",24.1849469310862,29.662916516893,0.00874752222584265,21.9908953114043,0.405362240696609
"TCGA.RNASeqV2_eset",77.6836950122831,78.9745741857903,0.0709741475861075,82.4751956345597,0.0123296257984095
