"val_ind_1" "val_ind_2" "val_ind_3" "val_ind_4" "val_ind_5" "val_ind_6" "val_ind_7" "val_ind_8" "val_ind_9" "val_ind_10"
"GSE12225.GPL3676_eset" 312 21 468 684 119 758 504 153 1016 27
"GSE12945_eset" 312 981 832 684 758 119 468 21 516 504
"GSE13067_eset" 188 833 324 220 192 1575 1166 438 868 1467
"GSE17538.GPL570_eset" 1575 1032 2 338 832 188 1467 1387 725 833
"GSE2109_eset" 324 438 338 1165 2 725 1032 832 1694 2506
"GSE21510_eset" 312 21 468 833 324 119 188 684 832 595
"GSE33113_eset" 188 832 834 579 2538 833 1575 187 192 1076
"GSE39582_eset" 312 832 516 188 189 21 684 981 833 758
"TCGA.COAD_eset" 188 832 833 1575 2538 187 324 190 2489 579
"TCGA.RNASeqV2_eset" 832 324 188 1166 220 579 868 1008 1575 438
