"studyName" "PC" "Variance explained (%)" "RAV"
"SRP051848" 1 5.07 1
"SRP051848" 2 3.49 1
"SRP007825" 1 28.49 2
"SRP007825" 2 10.45 2
"SRP136694" 1 16.5 3
"SRP136694" 2 11.77 3
"SRP063867" 1 39.69 4
"SRP063867" 2 23.81 4
"SRP093990" 1 20.28 5
"SRP093990" 2 17.37 5
"ERP020609" 2 12.76 6
"ERP020609" 3 11.75 6
"SRP045823" 2 3.77 6
"SRP045823" 3 2.4 6
"SRP045352" 1 21.18 7
"SRP045352" 2 17.2 7
"ERP021686" 2 3.54 8
"ERP021686" 3 2.66 8
"ERP023564" 1 20.21 9
"ERP023564" 2 9.09 9
"ERP104864" 1 46.32 10
"ERP104864" 2 8.12 10
"SRP074739" 1 27.98 11
"SRP074739" 2 9.63 11
"ERP109255" 1 44.89 12
"ERP109255" 3 4.88 12
"SRP127021" 2 13.41 13
"SRP127021" 3 7.37 13
"SRP144382" 1 32.47 14
"SRP144382" 2 16.82 14
"SRP103099" 1 20.68 15
"SRP103099" 3 6.51 15
"SRP173388" 1 72.62 16
"SRP173388" 2 7 16
"SRP020491" 1 11.24 17
"SRP020491" 3 4.8 17
"SRP067922" 1 20.29 18
"SRP067922" 2 10.9 18
"SRP026126" 1 42.29 19
"SRP026126" 2 25.32 19
"SRP096196" 1 9.76 20
"SRP096196" 2 7.66 20
"SRP155976" 1 25.15 21
"SRP155976" 3 4.36 21
"SRP065273" 1 22.3 22
"SRP065273" 3 6.41 22
"SRP131763" 1 8.77 23
"SRP131763" 3 2.58 23
"SRP056197" 1 21.16 24
"SRP056197" 2 10.33 24
"SRP051472" 2 11.27 25
"SRP051472" 3 8.25 25
"SRP187984" 1 21.17 26
"SRP187984" 2 14.76 26
"SRP073186" 2 6.72 27
"SRP073186" 3 2.14 27
"SRP073033" 1 10.11 28
"SRP073033" 2 5.39 28
"SRP094424" 1 61.06 29
"SRP094424" 2 4.15 29
"SRP116273" 1 33.58 30
"SRP116273" 2 7.69 30
"SRP092548" 2 11.04 31
"SRP092548" 3 3.82 31
"SRP108852" 1 25.8 32
"SRP108852" 2 13.31 32
"SRP119248" 2 2.57 33
"SRP119248" 3 2.4 33
"SRP132830" 1 16.24 34
"SRP132830" 2 14.86 34
"SRP148556" 1 8.94 35
"SRP148556" 2 4.56 35
"SRP166108" 1 49.26 36
"SRP166108" 2 11.46 36
"SRP182694" 2 2.99 37
"SRP182694" 3 1.64 37
