"pcNum" "Studies"
38 "DRP000987"
23 "DRP001953"
10 "ERP001908"
38 "ERP003613"
33 "ERP006121"
33 "ERP008608"
16 "ERP008967"
44 "ERP009437"
28 "ERP011411"
40 "ERP012979"
22 "ERP013206"
20 "ERP013260"
20 "ERP016798"
25 "ERP020523"
28 "ERP020609"
31 "ERP020977"
32 "ERP021140"
27 "ERP021686"
24 "ERP022034"
19 "ERP022266"
35 "ERP022766"
28 "ERP022839"
12 "ERP023082"
18 "ERP023272"
32 "ERP023424"
25 "ERP023550"
24 "ERP023564"
38 "ERP091820"
40 "ERP104463"
27 "ERP104602"
19 "ERP104864"
11 "ERP105482"
17 "ERP105501"
17 "ERP105662"
25 "ERP106487"
28 "ERP106996"
26 "ERP107424"
19 "ERP109255"
15 "ERP109789"
36 "ERP109918"
27 "ERP109941"
27 "ERP111913"
33 "ERP112751"
16 "ERP114104"
8 "ERP114425"
14 "ERP114435"
31 "ERP114921"
28 "ERP115010"
26 "SRP001540"
16 "SRP007825"
11 "SRP009408"
27 "SRP010181"
31 "SRP012461"
33 "SRP014320"
13 "SRP014428"
23 "SRP015640"
23 "SRP017575"
21 "SRP018853"
24 "SRP019272"
35 "SRP019994"
15 "SRP020491"
14 "SRP020492"
19 "SRP021193"
15 "SRP022043"
29 "SRP023262"
21 "SRP024274"
19 "SRP026042"
16 "SRP026126"
20 "SRP026537"
20 "SRP027358"
28 "SRP027383"
8 "SRP028155"
17 "SRP028291"
17 "SRP028301"
23 "SRP028336"
27 "SRP028567"
29 "SRP029262"
13 "SRP029880"
10 "SRP033248"
11 "SRP033393"
12 "SRP033566"
15 "SRP034712"
12 "SRP039077"
19 "SRP039361"
36 "SRP040070"
33 "SRP040472"
26 "SRP041036"
42 "SRP041471"
32 "SRP042228"
25 "SRP043108"
21 "SRP043162"
19 "SRP043364"
19 "SRP045352"
23 "SRP045823"
21 "SRP047233"
21 "SRP047476"
38 "SRP048801"
32 "SRP049340"
