"val_ind_1" "val_ind_2" "val_ind_3" "val_ind_4" "val_ind_5" "val_ind_6" "val_ind_7" "val_ind_8" "val_ind_9" "val_ind_10"
"GSE12225.GPL3676_eset" 312 21 468 684 119 758 504 153 1016 27
"GSE12945_eset" 312 981 832 684 758 119 468 21 516 504
"GSE13067_eset" 188 833 324 220 192 1575 1166 438 868 1467
"GSE13294_eset" 1575 833 192 58 188 187 832 1008 2538 1166
"GSE14095_eset" 2 1032 338 1387 725 1726 188 1843 1575 189
"GSE14333_eset" 832 188 834 1575 833 220 192 61 579 595
"GSE17536_eset" 725 338 1032 2 152 188 1843 884 40 170
"GSE17538.GPL570_eset" 1575 1032 2 338 832 188 1467 1387 725 833
"GSE2109_eset" 324 438 338 1165 2 725 1032 832 1694 2506
"GSE21510_eset" 312 21 468 833 324 119 188 684 832 595
"GSE21815_eset" 188 725 2 338 684 312 1166 1032 468 1843
"GSE26682.GPL570_eset" 833 188 338 1076 2538 1694 1187 316 438 725
"GSE26682.GPL96_eset" 338 725 438 316 834 1694 1076 1468 884 1497
"GSE33113_eset" 188 832 834 579 2538 833 1575 187 192 1076
"GSE39582_eset" 312 832 516 188 189 21 684 981 833 758
"TCGA.COAD_eset" 188 832 833 1575 2538 187 324 190 2489 579
"TCGA.RNASeqV2_eset" 832 324 188 1166 220 579 868 1008 1575 438
"NHS.HPFS_eset" 438 1575 338 220 1076 324 1467 188 725 884
